week_end,prename,numtotal_1dose,numtotal_2doses
3/13/2021,British Columbia,321939,87094
3/13/2021,Alberta,196481,91540
3/13/2021,Saskatchewan,41289,28366
3/13/2021,Manitoba,39151,33131
3/13/2021,Ontario,589270,285667
3/13/2021,Quebec,714039,0
3/13/2021,New Brunswick,27023,12165
3/13/2021,Nova Scotia,15851,16113
3/13/2021,Prince Edward Island,4792,5601
3/13/2021,Newfoundland and Labrador,17781,9242
3/13/2021,Yukon,8819,10362
3/13/2021,Northwest Territories,7293,12387
3/13/2021,Nunavut,4238,6038
,,,
